Bezirk,Ortsteil,Straße,Str. Anfang,Str. Ende,Ortsbeschreibung,Stadt,lat,lon
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Skutaristr.,Goldenes Horn,E. Goldenes Horn,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Imbrosweg,Am Hellespont,Nr. 57,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Imbrosweg,Am Hellespont,Nr. 57,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Imbrosweg,Am Hellespont,Nr. 57,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Am Hellespont,Goldenes Horn,Nr. 49,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Goldenes Horn,Am Hellespont,Nr. 50 vor MEMA,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Goldenes Horn,Am Hellespont,Nr. 50 vor MEMA LM37,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Dardanellenweg,Imbrosweg,Straße 229,E. Imbrosweg,Berlin,52.4444872,13.4036897
Tempelhof-Schöneberg,Mariendorf,Forddamm,Alt-Mariendorf,Friedenstr.,o. Nr.,Berlin,52.4352895,13.3792984
Tempelhof-Schöneberg,Mariendorf,Forddamm,Alt-Mariendorf,Friedenstr.,o. Nr.,Berlin,52.4352895,13.3792984
Tempelhof-Schöneberg,Mariendorf,Forddamm,Alt-Mariendorf,Friedenstr.,o. Nr.,Berlin,52.4352895,13.3792984
Tempelhof-Schöneberg,Mariendorf,Forddamm,Körtingstr.,Wilhelm-Pasewaldt-Str.,E. Körtingstr.,Berlin,52.4352896,13.3792985
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Forddamm,Großbeerenstr.,Nr. 29,Berlin,52.4352897,13.3792986
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Fritz-Werner-Str.,Forddamm,Nr. 27,Berlin,52.4352898,13.3792987
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Mariendorfer Damm,Friedenstr.,Taxistand,Berlin,52.438628,13.3875479
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Fritz-Werner-Str.,Nr. 25 Schule,Berlin,52.4369558,13.3833731
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Fritz-Werner-Str.,Nr. 21,Berlin,52.4369559,13.3833732
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Großbeerenstr.,Forddamm,Nr. 3-4,Berlin,52.4369558,13.3833731
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Forddamm,Fritz-Werner-Str.,Ruhebänke,Berlin,52.4369559,13.3833732
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Forddamm,Fritz-Werner-Str.,Ruhebänke,Berlin,52.4369558,13.3833731
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Fritz-Werner-Str.,Friedenstr.,Ruhezone,Berlin,52.4369559,13.3833732
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Fritz-Werner-Str.,Friedenstr.,Ruhezone,Berlin,52.4369560,13.3833733
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Fritz-Werner-Str.,Friedenstr.,Nr. 12,Berlin,52.4369559,13.3833732
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Mariendorfer Damm,in Wartehalle,Berlin,52.439109,13.3831699
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Mariendorfer Damm,in Wartehalle,Berlin,52.439110,13.3831700
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Mariendorfer Damm,BVG Wartehalle,Berlin,52.439111,13.3831701
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Mariendorfer Damm,BVG Wartehalle,Berlin,52.439112,13.3831702
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Mariendorfer Damm,In der Grünanlage,Berlin,52.439113,13.3831703
Tempelhof-Schöneberg,Mariendorf,Friedenstr.,Friedenstr.,Mariendorfer Damm,In der Grünanlage,Berlin,52.439114,13.3831704
Tempelhof-Schöneberg,Mariendorf,Fritz-Werner-Str.,Wilhelm-Pasewaldt-Str.,Freibergstr.,E. Wilhelm-Pasewaldt-Str.,Berlin,52.439115,13.3831705
Tempelhof-Schöneberg,Mariendorf,Fritz-Werner-Str.,Körtingstr.,Freibergstr.,E. Freibergstr.,Berlin,52.439116,13.3831706
Tempelhof-Schöneberg,Mariendorf,Goldenes Horn,Imbrosweg,Britzer Str.,0. Nr.,Berlin,52.4419379,13.4023081
Tempelhof-Schöneberg,Mariendorf,Goldenes Horn,Bosporusstr.,Dardanellenweg,E. Bosporusstr.,Berlin,52.4419379,13.4023081
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Friedenstr.,Alt-Mariendorf,Nr. 9,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Wilhelm-Pasewaldt-Str.,Friedenstr.,Nr. 17,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Körtingstr.,Wilhelm-Pasewaldt-Str.,Nr. 45,Berlin,52.4329959,13.3752222
